,region,proj_x,proj_y,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
96,5,435928.176729232,1207232.2540420892,51.20650241300483,90.5,46.6,6.1,14.1,31893,18.7,13.733025877530103,0.4547,13.5,2.660094389363291,5.451488952929868,49.40673943996203,3.6,6.3
97,5,371604.14687233657,1489685.6863171316,20.71657325860689,99.7,0.5,1.6,12.2,35405,25.5,11.348213555719076,0.4256,8.1,2.9816195809089883,2.4028130494237128,53.38965373383397,1.7,12.1
98,5,183790.0312712484,1226822.447670831,28.468238793286595,92.3,20.9,12.5,13.6,36059,17.6,13.545188190218616,0.511,29.6,3.106524458710776,2.627223831195691,52.10736229384499,6.5,8.6
99,5,259323.98746518817,1283331.4534906226,32.57642529108874,92.3,8.2,5.6,21.6,44777,23.3,13.151032418446556,0.4807,8.4,4.899207290455649,2.454806669834164,57.72742114543199,3.8,10.5
100,5,532469.7563084924,1428974.8658640026,38.4511557280243,94.2,33.7,4.1,13.8,39962,14.5,16.004367848834452,0.4727,27.0,3.824872290555553,3.953978285529092,40.33860635377173,1.8,7.4
101,5,266852.2933320227,1381063.4517787816,24.198214061124386,96.6,3.0,9.0,22.8,43462,15.3,20.738382396762923,0.4696,15.0,4.340707361544208,2.3698428290766294,52.05386057610363,5.4,8.6
102,5,403336.4189762283,1317132.1768966643,19.011627906976745,100.0,12.4,1.7,15.4,42660,23.4,12.016119184271586,0.4579,12.0,2.4962337242452697,1.573676680972813,53.48943985307621,0.2,7.8
103,5,315263.90315055446,1128071.1442834362,34.765284522475405,93.9,32.7,4.0,21.1,44663,17.2,13.82291059342442,0.47,16.5,3.620976266420867,3.2817486602035206,56.40964673913044,1.8,7.5
104,5,429370.6436163868,1358372.32999268,35.68153397248854,85.2,28.1,0.5,14.0,32845,22.7,12.888412674116024,0.5001,10.2,2.398836049689673,3.109854604200324,48.53950205841992,0.4,6.0
105,5,357025.9143140524,1394497.249307415,16.14160441701851,98.2,0.4,2.4,15.5,44483,26.8,10.99601593625498,0.4501,14.7,3.748308253721073,2.8706624605678304,63.12226204699323,1.4,8.2
106,5,350188.93789553223,1210635.806652797,18.504832291074475,97.2,12.8,1.2,16.2,46684,20.5,12.5,0.4257,17.6,2.6102923009781462,2.2777777777777675,57.49880210828942,0.8,5.5
107,5,429591.0428695552,1404690.5640920408,27.53126260588948,98.0,12.3,2.9,10.1,34109,17.5,16.021612732718626,0.501,15.5,3.2763064681087477,2.612453349047339,37.46964009715169,0.4,7.7
108,5,214468.7338830987,1188030.2283152067,32.35472154963681,89.6,30.1,12.8,15.1,42860,17.9,13.666330922076735,0.4199,20.5,3.3825736798487003,3.50467289719626,44.38970635898101,4.7,9.1
109,5,402820.7024991504,1466350.1712084902,19.0567066521265,96.1,0.8,2.3,10.2,34671,25.9,11.237528443899878,0.4769,14.4,3.347777866269779,3.0399154110494315,56.202644480760654,0.8,6.3
110,5,343901.55866524554,1430007.2396324547,20.358868184955146,98.5,0.1,1.9,13.9,38188,26.7,11.398797595190382,0.4609,6.3,3.018698047062603,2.3913775682047778,59.24373939938143,0.7,7.6
111,5,159434.29397775017,1437880.7560994672,47.98528381219342,99.6,3.7,16.8,33.3,50451,11.4,22.67649350593441,0.4851,14.1,5.496504826984603,3.116712282265077,59.48394994730963,11.1,11.6
112,5,325940.1256246994,1477167.259177285,22.641785941087388,94.2,0.2,2.4,17.9,42260,30.8,10.563159292249017,0.4517,18.2,4.25800545325872,2.5515304422335405,61.73263980722326,1.8,5.2
113,5,391951.357004428,1133376.618927938,27.69451322820279,94.1,25.4,5.4,12.3,44744,19.9,14.435125801677357,0.4694,19.1,3.0696109435263828,3.1920262427453934,52.096752990666495,2.5,7.8
114,5,480302.090554303,1433378.883937539,31.80714533472077,95.3,14.5,5.1,26.2,47286,13.5,19.175555452047146,0.4816,14.3,5.017024221057508,2.6797538365661797,49.53756704956201,4.0,8.8
115,5,485094.29171577794,1465794.3792263763,19.44303153611393,96.6,1.9,2.9,16.2,47056,15.7,15.397111511671891,0.4261,21.9,4.350328726572728,2.310559006211177,47.81846802696843,0.7,7.7
116,5,277912.6792135125,1325417.8678088435,22.533956802493872,99.8,0.7,2.9,12.7,48667,19.9,12.612264606470305,0.4132,12.7,2.9151465732820787,2.939269505078878,57.87367104440276,0.6,5.1
117,5,479239.741454598,1404550.5312104886,19.395260147098888,95.0,4.6,3.0,11.1,40921,17.8,14.763977234683628,0.4285,18.0,3.443829792659046,2.3800026592208483,41.692998503242976,1.0,11.3
118,5,161311.2066910553,1216148.0850485263,22.32,101.0,4.8,33.4,12.8,47704,13.9,15.678238978982494,0.4595,29.9,3.381658021462738,3.883121876201467,51.740600755918045,16.4,16.8
119,5,322399.1435887702,1171500.532611053,22.64775413711584,101.0,21.7,4.0,11.4,46417,21.2,15.56240369799692,0.4212,17.6,2.10423231472495,3.0705774518790085,51.902949571836345,1.1,9.3
