,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
1855,TX,-100.538201377694,30.4985662251929,9.6,36.1,70.4,45.5,17.5,17.7,35.7,39.7,32.1
1856,IN,-86.8374277565603,39.3128490832372,11.4,9.0,74.9,56.3,17.0,22.2,30.2,37.8,25.6
1857,MN,-93.3488503295151,43.673820790937,10.4,8.3,68.2,60.4,21.3,17.6,26.8,34.3,25.2
1858,TX,-96.1492579054963,31.7049953247855,10.2,21.0,71.9,51.0,18.9,19.2,29.4,40.1,28.9
1859,TX,-98.946450602628,30.3181707100449,9.8,19.2,71.2,57.9,20.2,15.2,25.0,36.1,25.0
1860,WV,-80.7995158023614,38.2916433145159,12.1,9.8,79.7,54.7,16.5,20.5,31.3,42.3,21.8
1862,WY,-106.798428990807,42.9624387201285,10.8,11.6,67.1,60.3,20.5,18.0,27.1,35.2,22.2
1863,IA,-92.8690276978932,41.0298685379331,9.8,7.0,75.2,66.6,24.3,17.2,25.0,35.0,21.1
1865,WI,-92.367667213567,45.8627693664506,11.7,6.6,72.7,60.0,23.4,21.2,23.8,34.2,26.4
1866,MO,-94.3392953499756,36.9055482727206,10.5,11.9,74.6,59.9,19.8,18.0,25.1,38.1,24.6
1868,RI,-71.5930762695537,41.6719596394176,12.0,6.1,83.1,72.1,19.6,13.5,20.6,35.9,21.7
1869,OH,-81.8879430008873,40.828860440969,11.3,8.8,74.9,61.5,19.1,19.0,24.0,34.2,22.6
1870,GA,-83.7338810944706,33.7813254964218,10.8,14.4,74.4,56.5,16.5,17.8,27.0,37.0,30.6
1871,SC,-78.9968620963188,33.9211059885984,9.7,14.4,76.6,61.5,19.0,17.5,23.6,36.6,23.1
1872,TX,-95.393015286316,29.8574661549995,9.1,29.0,71.8,49.8,16.1,15.8,29.2,41.0,29.8
1873,IA,-92.4099557150409,40.7477090811249,10.4,9.0,74.4,63.9,23.7,18.9,27.0,33.0,24.9
1874,AZ,-113.98153747073,33.7292571142703,11.5,20.4,67.7,49.1,18.2,18.6,29.2,39.0,31.1
1876,OH,-81.1973820342372,41.1676777891816,10.8,6.8,75.7,63.7,17.7,17.5,23.2,39.7,23.0
1877,WI,-90.1352742170414,43.000529388604,10.7,5.4,72.5,69.2,24.1,13.9,19.1,32.4,25.0
1879,MT,-114.998287658228,47.1473312209822,11.3,9.3,68.6,60.0,23.3,17.5,21.7,34.4,20.7
1881,UT,-113.082107285331,41.5209589223232,11.4,10.2,70.5,67.8,12.7,10.3,19.3,37.9,21.9
1884,NM,-108.320491882717,36.5085003747434,13.4,11.0,64.2,52.5,14.8,24.9,27.3,38.2,27.8
