algorithm,pattern,dataset_id,ssr,randi,nmi,mae,time
RegionKModels,Rectangular,28,669.5516475263147,0.760476923076923,0.3459059188614719,0.9666352783504172,0.043771982192993164
RegionKModels,Rectangular,29,332.1288922887045,0.7690307692307692,0.40682121956142636,1.018319573703406,0.016159772872924805
RegionKModels,Rectangular,30,123.17957290377652,0.7556051282051282,0.32523000497259535,0.7516002069808188,0.06295299530029297
RegionKModels,Rectangular,31,405.9466756568228,0.8062,0.4619975267873682,0.7838719334084014,0.04327583312988281
RegionKModels,Rectangular,32,380.3964325643834,0.7802615384615385,0.39879434295398425,1.1794330199285017,0.031249046325683594
RegionKModels,Rectangular,33,513.3544508739961,0.7990102564102564,0.49828156499700316,0.7512093880421499,0.033799171447753906
RegionKModels,Rectangular,34,186.68978876184883,0.8295846153846154,0.5494116963063641,0.6406151234639732,0.031912803649902344
RegionKModels,Rectangular,35,530.9025582557977,0.7173076923076923,0.20437369035218997,1.1211633222072526,0.01569962501525879
RegionKModels,Rectangular,36,312.4376742505011,0.7948358974358974,0.45889032343018293,0.6434023929198267,0.08284926414489746
RegionKModels,Rectangular,37,353.2642065129911,0.779374358974359,0.4221090105768979,0.8285745079010846,0.048986196517944336
RegionKModels,Rectangular,38,462.69981513249036,0.7734102564102564,0.3502803647141115,1.0155662570031716,0.031279802322387695
RegionKModels,Rectangular,39,259.06877657472074,0.7665794871794872,0.37063165449642277,0.825563628684578,0.06300568580627441
RegionKModels,Rectangular,40,494.33127102959446,0.7827692307692308,0.4009340160417925,0.6986309993178078,0.031290531158447266
RegionKModels,Rectangular,41,808.1341545850178,0.7499282051282051,0.3347425901943719,0.7956160416409523,0.06369209289550781
RegionKModels,Rectangular,42,486.4848242139278,0.8022205128205128,0.46999988792408437,0.864548362501671,0.024149656295776367
RegionKModels,Rectangular,43,434.6986235703579,0.8033282051282051,0.4501667941580519,0.8196230704185651,0.0312647819519043
RegionKModels,Rectangular,44,365.24560459745686,0.7913076923076923,0.4174772993387293,0.9849362059189836,0.07818031311035156
RegionKModels,Rectangular,45,660.4057431524479,0.7493179487179488,0.3048200908941772,1.016545584438124,0.027651548385620117
RegionKModels,Rectangular,46,706.3866165675479,0.7995333333333333,0.43870051330878745,1.0917231046554778,0.041312456130981445
RegionKModels,Rectangular,47,273.30654472023474,0.7755128205128206,0.3743353886262828,1.0601438301126807,0.028287649154663086
RegionKModels,Rectangular,48,294.1089742635663,0.7495487179487179,0.3005690994201525,1.1171911747392191,0.06856417655944824
RegionKModels,Rectangular,49,366.01931155065495,0.8499897435897436,0.6071313511435783,0.6097783806897225,0.03080010414123535
RegionKModels,Voronoi,53,156.08306351838152,0.8063897435897436,0.6877615894080258,0.39789776049069053,0.04692864418029785
RegionKModels,Voronoi,54,484.8722474606097,0.8740615384615384,0.6535090098977586,0.5736228559470452,0.027585983276367188
RegionKModels,Voronoi,55,338.04251158615523,0.7559128205128205,0.48268476997716353,0.6302798921325777,0.031247377395629883
RegionKModels,Voronoi,56,341.4295147586289,0.8413538461538461,0.5899469349227885,0.5992867669215588,0.046938180923461914
