Running algorithms: ['AZP', 'RegionKModels', 'SKATER-reg', 'GWR+SKATER', 'SHAP-based']
Resuming from: <path>\simulation_study\results\baseline_per_dataset.csv
Already-completed (algo,dataset) pairs: 18

  Voronoi d=64: time=0.05s ssr=295.71 randi=0.795 nmi=0.503 mae=0.629
  Voronoi d=65: time=0.03s ssr=164.03 randi=0.890 nmi=0.698 mae=0.435
  Voronoi d=66: time=0.02s ssr=285.76 randi=0.809 nmi=0.556 mae=0.709
  Voronoi d=67: time=0.05s ssr=152.27 randi=0.867 nmi=0.736 mae=0.281
  Voronoi d=68: time=0.02s ssr=234.77 randi=0.762 nmi=0.471 mae=0.677
  Voronoi d=69: time=0.08s ssr=211.16 randi=0.824 nmi=0.542 mae=0.539
  Voronoi d=70: time=0.05s ssr=588.10 randi=0.775 nmi=0.450 mae=0.829
  Voronoi d=71: time=0.02s ssr=335.10 randi=0.841 nmi=0.602 mae=0.413
  Voronoi d=72: time=0.02s ssr=233.51 randi=0.850 nmi=0.591 mae=0.603
  Voronoi d=73: time=0.02s ssr=251.64 randi=0.808 nmi=0.491 mae=0.543
  Voronoi d=74: time=0.02s ssr=348.75 randi=0.769 nmi=0.512 mae=0.684
  Voronoi d=75: time=0.04s ssr=535.50 randi=0.838 nmi=0.625 mae=0.648
  Voronoi d=76: time=0.06s ssr=394.71 randi=0.840 nmi=0.649 mae=0.785
  Voronoi d=77: time=0.04s ssr=186.11 randi=0.760 nmi=0.587 mae=0.518
  Voronoi d=78: time=0.02s ssr=419.67 randi=0.781 nmi=0.445 mae=0.716
  Voronoi d=79: time=0.02s ssr=252.18 randi=0.824 nmi=0.545 mae=0.540
  Voronoi d=80: time=0.04s ssr=223.37 randi=0.845 nmi=0.583 mae=0.807
  Voronoi d=81: time=0.03s ssr=294.78 randi=0.790 nmi=0.515 mae=0.541
  Voronoi d=82: time=0.06s ssr=403.02 randi=0.791 nmi=0.468 mae=0.972
  Voronoi d=83: time=0.02s ssr=252.24 randi=0.841 nmi=0.622 mae=0.581
  Voronoi d=84: time=0.07s ssr=244.62 randi=0.793 nmi=0.524 mae=0.482
  Voronoi d=85: time=0.04s ssr=244.49 randi=0.829 nmi=0.559 mae=0.635
  Voronoi d=86: time=0.08s ssr=506.97 randi=0.797 nmi=0.473 mae=0.857
  Voronoi d=87: time=0.05s ssr=158.31 randi=0.875 nmi=0.659 mae=0.362
  Voronoi d=88: time=0.05s ssr=480.11 randi=0.763 nmi=0.431 mae=0.842
  Voronoi d=89: time=0.05s ssr=139.28 randi=0.794 nmi=0.512 mae=0.606
  Voronoi d=90: time=0.08s ssr=204.41 randi=0.765 nmi=0.583 mae=0.520
  Voronoi d=91: time=0.07s ssr=300.11 randi=0.774 nmi=0.467 mae=1.036
  Voronoi d=92: time=0.04s ssr=167.76 randi=0.767 nmi=0.460 mae=0.852
  Voronoi d=93: time=0.02s ssr=276.82 randi=0.744 nmi=0.501 mae=0.590
  Voronoi d=94: time=0.04s ssr=262.04 randi=0.816 nmi=0.567 mae=0.793
  Voronoi d=95: time=0.06s ssr=455.65 randi=0.866 nmi=0.648 mae=0.512
  Voronoi d=96: time=0.05s ssr=163.17 randi=0.782 nmi=0.491 mae=0.743
  Voronoi d=97: time=0.05s ssr=338.12 randi=0.810 nmi=0.493 mae=0.660
  Voronoi d=98: time=0.03s ssr=569.23 randi=0.820 nmi=0.593 mae=0.752
  Voronoi d=99: time=0.14s ssr=510.85 randi=0.771 nmi=0.498 mae=0.639
  Arbitrary d=103: time=0.03s ssr=392.55 randi=0.832 nmi=0.569 mae=0.779
  Arbitrary d=104: time=0.03s ssr=603.35 randi=0.802 nmi=0.480 mae=0.889
  Arbitrary d=105: time=0.03s ssr=319.05 randi=0.811 nmi=0.519 mae=0.751
  Arbitrary d=106: time=0.05s ssr=422.67 randi=0.800 nmi=0.507 mae=0.947
  Arbitrary d=107: time=0.08s ssr=202.27 randi=0.817 nmi=0.526 mae=0.681
  Arbitrary d=108: time=0.05s ssr=605.34 randi=0.811 nmi=0.476 mae=0.733
  Arbitrary d=109: time=0.03s ssr=277.59 randi=0.801 nmi=0.522 mae=0.764
  Arbitrary d=110: time=0.06s ssr=425.00 randi=0.816 nmi=0.522 mae=0.760
  Arbitrary d=111: time=0.05s ssr=250.02 randi=0.948 nmi=0.826 mae=0.322
  Arbitrary d=112: time=0.02s ssr=195.71 randi=0.820 nmi=0.575 mae=0.641
  Arbitrary d=113: time=0.03s ssr=302.34 randi=0.824 nmi=0.539 mae=0.786
  Arbitrary d=114: time=0.04s ssr=442.08 randi=0.767 nmi=0.419 mae=0.770
  Arbitrary d=115: time=0.04s ssr=274.84 randi=0.766 nmi=0.425 mae=0.713
  Arbitrary d=116: time=0.02s ssr=645.51 randi=0.841 nmi=0.560 mae=0.770
  Arbitrary d=117: time=0.03s ssr=415.80 randi=0.811 nmi=0.564 mae=0.724
  Arbitrary d=118: time=0.03s ssr=240.88 randi=0.846 nmi=0.570 mae=0.639
  Arbitrary d=119: time=0.02s ssr=365.08 randi=0.802 nmi=0.494 mae=0.839
  Arbitrary d=120: time=0.02s ssr=315.94 randi=0.821 nmi=0.507 mae=0.822
  Arbitrary d=121: time=0.02s ssr=333.76 randi=0.777 nmi=0.421 mae=1.014
  Arbitrary d=122: time=0.08s ssr=373.20 randi=0.772 nmi=0.469 mae=0.699
  Arbitrary d=123: time=0.03s ssr=316.89 randi=0.819 nmi=0.500 mae=0.655
  Arbitrary d=124: time=0.05s ssr=150.88 randi=0.887 nmi=0.673 mae=0.444
  Arbitrary d=125: time=0.04s ssr=174.87 randi=0.928 nmi=0.784 mae=0.335
  Arbitrary d=126: time=0.07s ssr=382.95 randi=0.797 nmi=0.453 mae=0.849
  Arbitrary d=127: time=0.03s ssr=253.27 randi=0.791 nmi=0.464 mae=0.974
  Arbitrary d=128: time=0.03s ssr=490.63 randi=0.805 nmi=0.502 mae=0.915
